"","adj","p.val","fc","auc.mat","log10p","log2fc"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9635|s__GGB9635_SGB15106",3.86584887697706e-36,2.73797142150743e-38,4.57456147223939,0.809498587570621,35.4127551273322,2.19363345003083
"k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798|f__FGB1798|g__GGB4768|s__GGB4768_SGB6601",5.9113342163467e-08,7.47183759517731e-09,0.776993146694849,0.584745762711864,7.22831448571763,-0.364026221187399
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii",4.47518471461921e-22,1.46764961176341e-23,3.4267948648691,0.728725282485876,21.3491890343404,1.77685983168962
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9536|s__GGB9536_SGB14939",0.214648698263383,0.113914681954792,0,0.507062146892655,0.668271740954605,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB9176|s__GGB9176_SGB14114",1.16714064041012e-06,1.74139098026858e-07,0.397726520220289,0.570621468926554,5.93287680833006,-1.33015133129926
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae",1.15435103290327e-27,2.16890620239748e-29,4.06544944875894,0.791297508988187,26.9376621041174,2.02341485578173
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF36_4",2.06338647100379e-19,9.11069096856228e-21,2.34026042622463,0.690677966101695,18.6854194213216,1.22666908310656
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634|s__GGB9634_SGB15093",2.6054982991705e-26,5.98581469362768e-28,3.03912054849404,0.742937853107345,25.5841092059979,1.60365390133776
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB3277|s__GGB3277_SGB4327",1.85324861608969e-21,6.45764314087106e-23,2.75010453260771,0.708726566512583,20.7320663155148,1.45948645711314
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q4149",5.07904661690035e-28,9.41287143109894e-30,3.57964909428349,0.759028312788906,27.2942178010777,1.83981816996172
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9716|s__GGB9716_SGB15269",0.130003371223942,0.0608436650702198,0,0.509887005649718,0.886045385501073,0
"k__Bacteria|p__Bacteroidetes|c__CFGB1670|o__OFGB1670|f__FGB1670|g__GGB47687|s__GGB47687_SGB2286",2.18214169460029e-23,6.41093810694765e-25,2.77845012127488,0.721751412429378,22.6611170524713,1.47428034126544
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_dorei",5.30196726877011e-21,1.96520095195681e-22,3.78902282207772,0.747006612737545,20.2755629576735,1.92182582952706
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4566|s__GGB4566_SGB6305",1.25590615277951e-08,1.48876739265348e-09,0.703598488766299,0.59180790960452,7.90104281191471,-0.507175710786566
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecis",1.04170427826112e-34,8.71867958575368e-37,5.07679523518997,0.815846494607088,33.982255552195,2.34391807233198
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_welbionis",6.08251353022419e-20,2.57969355913113e-21,2.53505444129682,0.699329096045198,19.2159169163314,1.34201673000793
"k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403|f__FGB2403|g__GGB6601|s__GGB6601_SGB9333",8.33029865118137e-12,6.93657971210337e-13,1.43605340256518,0.626308102208526,11.0793394283369,0.522109399706521
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4567|s__GGB4567_SGB6307",3.60097845019005e-09,4.01646413523631e-10,0.716580058111495,0.597457627118644,8.44357947762665,-0.480800199906914
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_sp_BX15",4.19439502659935e-27,8.63309592117554e-29,3.59240693361733,0.757680084745763,26.377330670248,1.84495078211117
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger|s__Gemmiger_formicilis",2.97191695582614e-33,2.99501409844978e-35,4.8330477903158,0.81344696969697,32.5269633302178,2.27293326054481
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter|s__Lawsonibacter_asaccharolyticus",2.72234362608738e-20,1.10902202268752e-21,2.30920981589489,0.69774011299435,19.5650570571288,1.2073992630206
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__GGB6546|s__GGB6546_SGB9245",0.101406461566883,0.0448383549869045,0,0.511299435028249,0.993934371102936,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus",5.43842681698547e-29,8.68550529316153e-31,4.40358501276063,0.777863379558295,28.2645267112414,2.13867851789373
