"","adj","p.val","fc","auc.mat","log10p","log2fc"
"k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798|f__FGB1798|g__GGB4768|s__GGB4768_SGB6601",0.142721481782689,0.0269621588268262,0.39416193888413,0.560728744939271,0.845510653952365,-1.34313962148458
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii",0.000118219845925932,7.01706319228992e-06,2.30838774436944,0.692307692307692,3.92730961099594,1.20688557662413
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9536|s__GGB9536_SGB14939",0.797946199705956,0.546806102308287,0,0.505060728744939,0.098026389299008,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB9176|s__GGB9176_SGB14114",0.214888013297286,0.045550606286093,0.196141460996114,0.550607287449393,0.667787809283028,-2.35003356572631
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae",3.05213011746933e-10,9.67068300948947e-12,5.01605772084588,0.829959514170041,9.51539695561415,2.32655394963496
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF36_4",0.00322072476489715,0.000346855745882254,1.521514625581,0.63663967611336,2.49204638731745,0.605508201845783
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634|s__GGB9634_SGB15093",0.000411132160618116,2.72472932478997e-05,1.89799543746314,0.674089068825911,3.38601854941114,0.924476524309914
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB3277|s__GGB3277_SGB4327",0.00168693561737739,0.000128367827197693,1.87853580578186,0.651821862348178,2.77290149213008,0.909608614692282
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q4149",0.000118219845925932,7.01704697132385e-06,2.3786045389126,0.692307692307692,3.92730961099594,1.25011543268172
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9716|s__GGB9716_SGB15269",0.797946199705956,0.47433596525848,0,0.507085020242915,0.098026389299008,0
"k__Bacteria|p__Bacteroidetes|c__CFGB1670|o__OFGB1670|f__FGB1670|g__GGB47687|s__GGB47687_SGB2286",0.00109323975603816,7.936235311576e-05,1.93524414519281,0.658906882591093,2.96128458342463,0.952515584374842
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_dorei",6.87089148663363e-08,2.59954302551772e-09,4.07428396114697,0.78258547008547,7.16298691030473,2.0265465338291
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4566|s__GGB4566_SGB6305",0.115248015258,0.0206794841623587,0.33178654601783,0.565789473684211,0.938366545069946,-1.59167270885546
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecis",2.24842556281106e-07,9.04439696032119e-09,3.53894873429687,0.768218623481781,6.64812148576805,1.82332086283368
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_welbionis",0.00200744797468486,0.000157214790706331,1.46916931068484,0.648785425101215,2.69735570114271,0.555000665199898
"k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403|f__FGB2403|g__GGB6601|s__GGB6601_SGB9333",0.0334630069991844,0.00468979370447192,0.732686289624442,0.593117408906883,1.47543503574434,-0.448732475355625
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4567|s__GGB4567_SGB6307",0.0960572289637447,0.0166945478641405,0.352183570274487,0.569838056680162,1.017469945941,-1.50560048735481
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_sp_BX15",6.51973375113149e-05,3.7362211521131e-06,2.60687851433499,0.700404858299595,4.18577013935633,1.38232335201414
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger|s__Gemmiger_formicilis",3.02046366833239e-08,1.1221297256167e-09,4.2407164083957,0.788461538461538,7.5199263838172,2.0843080080744
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter|s__Lawsonibacter_asaccharolyticus",0.00239118184604555,0.000250370444891088,1.51929626195692,0.6417004048583,2.62138739513847,0.603403222032517
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__GGB6546|s__GGB6546_SGB9245",0.797946199705956,0.443708298905968,0,0.508097165991903,0.098026389299008,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus",5.49822671932682e-06,2.73760698062522e-07,3.16310446376054,0.731781376518219,5.25977735599446,1.66134120266549
