"","NA","NA","Cor","Pval","Qval","name"
"17","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter",0.363343572418518,5.5160285071704e-18,1.5344588392674e-17,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter"
"18","tyr.PPM.","k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342",0.429312477499359,3.52239738880255e-25,1.22483363746998e-24,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342"
"19","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__GGB1407",0.184752164571045,1.86748641605144e-05,3.40149311495083e-05,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__GGB1407"
"20","tyr.PPM.","k__Bacteria|p__Proteobacteria|c__CFGB13104|o__OFGB13104|f__FGB13104|g__GGB6612",0.321546684408808,3.26129713424112e-14,8.04803970224019e-14,"tyr.PPM._with_k__Bacteria|p__Proteobacteria|c__CFGB13104|o__OFGB13104|f__FGB13104|g__GGB6612"
"21","tyr.PPM.","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae|g__GGB15850",0.354810712077058,3.61633821033501e-17,9.37796179968232e-17,"tyr.PPM._with_k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae|g__GGB15850"
"22","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9635",0.492575574506246,9.60850340978974e-34,6.68227737135377e-33,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9635"
"23","tyr.PPM.","k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798|f__FGB1798|g__GGB4768",0.0992619295720955,0.0222874801569505,0.0312842611377378,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798|f__FGB1798|g__GGB4768"
"24","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9536",-0.00183241865053711,0.966430237482332,0.966430237482332,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9536"
"25","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB9176",0.0955265429762249,0.0278761669413712,0.0387732140184527,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB9176"
"26","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634",0.498516866035718,1.20958735924081e-34,9.25334329819217e-34,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634"
