,Group
SRR10571207,1
SRR10571206,1
SRR10571205,1
SRR10132701,1
SRR10132699,1
SRR10132698,1
SRR10132697,1
SRR10132696,1
SRR10132695,1
SRR10132694,1
SRR10132693,1
SRR10132692,1
SRR10132691,1
SRR10132690,1
SRR10132688,1
SRR10132687,1
SRR10132686,1
SRR10132685,1
SRR10132684,1
SRR10132683,1
SRR10132682,1
SRR10132681,1
SRR10132680,1
SRR10132679,1
SRR10132677,1
SRR10132676,1
SRR10132675,1
SRR10132674,1
SRR10132673,1
SRR10132672,1
SRR10132671,1
SRR10132670,1
SRR10132669,1
SRR10132668,1
SRR10132666,1
SRR10132665,1
SRR10132664,1
SRR10132663,1
SRR10132662,1
SRR10132661,1
SRR10132660,1
SRR10132659,1
SRR10132658,1
SRR10132657,1
SRR10132655,1
SRR10132654,1
SRR10132653,1
SRR10132652,1
SRR10132651,1
SRR10132650,1
SRR10132649,1
SRR10132648,1
SRR10132647,1
SRR10132646,1
SRR10132644,1
SRR10132643,1
SRR10132642,1
SRR10132641,1
SRR10132640,1
SRR10132639,1
SRR10132638,1
SRR10132637,1
SRR10132636,1
SRR10132635,1
SRR10132632,1
SRR10132631,1
SRR10132630,1
SRR10132629,1
SRR10132628,1
SRR10132627,1
SRR10132626,1
SRR10132625,1
SRR10132624,1
SRR10132623,1
SRR10132621,1
SRR10132620,1
SRR10132619,1
SRR10132618,1
SRR10132617,1
SRR10132616,1
ERR011141,1
ERR011142,1
ERR011143,1
ERR011148,1
ERR011150,1
ERR011152,1
ERR011153,1
ERR011156,1
ERR011158,1
ERR011160,1
ERR011162,1
ERR011164,1
ERR011165,1
ERR011166,1
ERR011167,1
ERR011168,1
ERR011169,1
ERR011170,1
ERR011171,1
ERR011172,1
ERR011173,1
ERR011174,1
ERR011175,1
ERR011176,1
ERR011177,1
ERR011178,1
ERR011179,1
ERR011180,1
ERR011181,1
ERR011182,1
ERR011183,1
ERR011184,1
ERR011185,1
ERR011186,1
ERR011187,1
ERR011188,1
ERR011189,1
ERR011190,1
ERR011191,1
ERR011192,1
ERR011193,1
ERR011194,1
ERR011195,1
ERR011196,1
ERR011197,1
ERR011198,1
ERR011199,1
ERR011200,1
ERR011201,1
ERR011202,1
ERR011203,1
ERR011204,1
ERR011205,1
ERR011206,1
ERR011207,1
ERR011208,1
ERR011209,1
ERR011210,1
ERR011211,1
ERR011212,1
ERR011213,1
ERR011214,1
ERR011215,1
ERR011216,1
ERR011217,1
ERR011218,1
ERR011219,1
ERR011220,1
ERR011221,1
ERR011222,1
ERR011223,1
ERR011224,1
ERR011225,1
ERR011226,1
ERR011227,1
ERR011228,1
ERR011229,1
ERR011230,1
ERR011231,1
ERR011232,1
ERR011233,1
ERR011234,1
ERR011235,1
ERR011236,1
ERR011237,1
ERR011238,1
ERR011239,1
ERR011240,1
ERR011241,1
ERR011242,1
ERR011243,1
ERR011244,1
ERR011245,1
ERR011246,1
ERR011247,1
ERR4682857,1
ERR4682347,1
ERR4682900,1
ERR4682866,1
ERR4682349,1
ERR4682345,1
ERR4682804,1
ERR4682335,1
ERR4682358,1
ERR4682359,1
ERR4682355,1
ERR4682353,1
ERR4682334,1
ERR4682339,1
ERR4682836,1
ERR4682805,1
ERR4682427,1
ERR4682839,1
ERR4682346,1
ERR4682354,1
ERR4682835,1
ERR4682401,1
ERR4682397,1
ERR4682409,1
ERR4682820,1
ERR4682343,1
ERR4682801,1
ERR3562852,1
ERR4682832,1
ERR4682387,1
ERR4682851,1
ERR4682411,1
ERR4682407,1
ERR4682421,1
ERR4682418,1
ERR4682352,1
ERR4682869,1
ERR4682825,1
ERR4682852,1
ERR4682389,1
ERR3562861,1
ERR4682399,1
ERR4682875,1
ERR4682356,1
ERR4682840,1
ERR4682847,1
ERR4682386,1
ERR4682833,1
ERR4682378,1
ERR3562837,1
ERR4682420,1
ERR4682432,1
ERR4682819,1
ERR4682429,1
ERR4682362,1
ERR4682372,1
ERR4682895,1
ERR4682867,1
ERR4682844,1
ERR4682373,1
ERR4682812,1
ERR4682426,1
ERR4682366,1
ERR4682430,1
ERR4682408,1
ERR4682388,1
ERR4682850,1
ERR4682374,1
ERR3562866,1
ERR4682811,1
ERR4682404,1
ERR4682896,1
ERR4682874,1
ERR4682849,1
ERR4682344,1
ERR4682414,1
ERR4682818,1
ERR4682391,1
ERR4682406,1
ERR4682423,1
ERR4682845,1
ERR4682380,1
ERR3562849,1
ERR4682415,1
ERR4682443,1
ERR3562867,1
ERR4682428,1
ERR4682422,1
ERR4682361,1
